식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),출처코드,출처명,식품중량,업체명,데이터생성방법코드,데이터생성방법명,데이터생성일자,데이터기준일자,제공기관코드,제공기관명
D202-110000000-0038,케이크_달콤 부드러운 호박고구마케이크,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02110,케이크,0211000,해당없음,021100000,해당없음,00,해당없음,100g,250,,3.00,,,,12.00,,,,,,55,,,,,,,,,,6.00,,3,식품의약품안전처,960g(,파리바게뜨,2,수집,2022-10-30,2023-01-05,1471000,식품의약품안전처
D202-110000000-0039,케이크_달토끼의 당근케이크,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02110,케이크,0211000,해당없음,021100000,해당없음,00,해당없음,100g,324,,4.30,,,,25.00,,,,,,156,,,,,,,,,,7.90,,3,식품의약품안전처,100g(,커피베이,2,수집,2022-07-08,2023-01-05,1471000,식품의약품안전처
D202-110000000-0040,케이크_당근 치즈케이크,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02110,케이크,0211000,해당없음,021100000,해당없음,00,해당없음,100g,317,,4.64,,,,23.84,,,,,,204,,,,,,,,,,4.64,,3,식품의약품안전처,151g(,카페베네,2,수집,2022-07-05,2023-01-05,1471000,식품의약품안전처
D202-110000000-0041,케이크_당근 치즈케이크,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02110,케이크,0211000,해당없음,021100000,해당없음,00,해당없음,100g,372,,4.62,,,,32.31,,,,,,119,,,,,,,,,,10.00,,3,식품의약품안전처,130g(,토프레소,2,수집,2022-07-11,2023-01-05,1471000,식품의약품안전처
D202-110000000-0005,케이크_TWG밀크티파운드케이크,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02110,케이크,0211000,해당없음,021100000,해당없음,00,해당없음,100g,370,,4.35,,,,24.64,,,,,,87,,,,,,,,,,8.70,,3,식품의약품안전처,69g(o,투썸 플레이스,2,수집,2022-07-12,2023-01-05,1471000,식품의약품안전처
D202-108000000-0018,치즈빵_치즈 앤 치즈 블랑,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02108,치즈빵,0210800,해당없음,021080000,해당없음,00,해당없음,100g,246,,10.95,,,,4.29,,,,,,436,,,,,,,,,,4.29,,3,식품의약품안전처,210g(,롤링핀,2,수집,2022-10-30,2023-01-05,1471000,식품의약품안전처
D202-110000000-0006,케이크_가나슈초콜릿 케이크 (조각),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02110,케이크,0211000,해당없음,021100000,해당없음,00,해당없음,100g,340,,4.00,,,,12.00,,,,,,85,,,,,,,,,,5.00,,3,식품의약품안전처,100g(,파리바게뜨,2,수집,2022-10-30,2023-01-05,1471000,식품의약품안전처
D202-110000000-0007,케이크_갸또쇼콜라케이크,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02110,케이크,0211000,해당없음,021100000,해당없음,00,해당없음,100g,349,,4.64,,,,24.36,,,,,,244,,,,,,,,,,3.27,,3,식품의약품안전처,110g(,커피베이,2,수집,2022-07-08,2023-01-05,1471000,식품의약품안전처
D202-110000000-0008,케이크_고구마건포도롤케이크,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02110,케이크,0211000,해당없음,021100000,해당없음,00,해당없음,100g,335,,8.00,,,,14.00,,,,,,400,,,,,,,,,,3.80,,3,식품의약품안전처,265g(,파리바게뜨,2,수집,2022-10-30,2023-01-05,1471000,식품의약품안전처
D202-110000000-0009,케이크_고구마무스케이크,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02110,케이크,0211000,해당없음,021100000,해당없음,00,해당없음,100g,244,,3.33,,,,12.22,,,,,,43,,,,,,,,,,8.89,,3,식품의약품안전처,90g(o,토프레소,2,수집,2022-07-11,2023-01-05,1471000,식품의약품안전처
D202-110000000-0010,케이크_고구마밀크생크림케이크,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02110,케이크,0211000,해당없음,021100000,해당없음,00,해당없음,100g,243,,4.45,,,,27.94,,,,,,43,,,,,,,,,,1.61,,3,식품의약품안전처,1056g,투썸 플레이스,2,수집,2022-07-12,2023-01-05,1471000,식품의약품안전처
D202-110000000-0011,케이크_고구마반생크림반케이크,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02110,케이크,0211000,해당없음,021100000,해당없음,00,해당없음,100g,220,,3.00,,,,10.00,,,,,,80,,,,,,,,,,6.00,,3,식품의약품안전처,750g(,파리바게뜨,2,수집,2022-10-30,2023-01-05,1471000,식품의약품안전처
D202-110000000-0012,케이크_고구마스틱케이크,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02110,케이크,0211000,해당없음,021100000,해당없음,00,해당없음,100g,236,,4.44,,,,15.56,,,,,,111,,,,,,,,,,5.11,,3,식품의약품안전처,45g(o,커피마마,2,수집,2022-07-07,2023-01-05,1471000,식품의약품안전처
D202-110000000-0013,케이크_고구마케이크 (조각),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02110,케이크,0211000,해당없음,021100000,해당없음,00,해당없음,100g,267,,3.33,,,,22.22,,,,,,111,,,,,,,,,,6.67,,3,식품의약품안전처,90g(o,따삐오,2,수집,2022-10-30,2023-01-05,1471000,식품의약품안전처
D202-110000000-0014,케이크_고구마케이크 1호,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02110,케이크,0211000,해당없음,021100000,해당없음,00,해당없음,100g,280,,3.00,,,,24.00,,,,,,124,,,,,,,,,,8.00,,3,식품의약품안전처,350g(,따삐오,2,수집,2022-10-30,2023-01-05,1471000,식품의약품안전처
D202-110000000-0015,케이크_고구마케이크 3호,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02110,케이크,0211000,해당없음,021100000,해당없음,00,해당없음,100g,263,,3.00,,,,21.00,,,,,,116,,,,,,,,,,7.00,,3,식품의약품안전처,900g(,따삐오,2,수집,2022-10-30,2023-01-05,1471000,식품의약품안전처
D202-110000000-0016,케이크_곰곰이너만생각해케이크,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02110,케이크,0211000,해당없음,021100000,해당없음,00,해당없음,100g,295,,4.00,,,,16.00,,,,,,85,,,,,,,,,,6.00,,3,식품의약품안전처,630g(,파리바게뜨,2,수집,2022-10-30,2023-01-05,1471000,식품의약품안전처
D202-110000000-0017,케이크_귀여운 노랑치즈케이크,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02110,케이크,0211000,해당없음,021100000,해당없음,00,해당없음,100g,398,,6.00,,,27.50,24.50,,,,,,130,,,,,,,,,,12.50,,3,식품의약품안전처,200g(,엔젤리너스,2,수집,2022-06-27,2023-01-05,1471000,식품의약품안전처
D202-110000000-0018,케이크_그뤼에르치즈무스케이크,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02110,케이크,0211000,해당없음,021100000,해당없음,00,해당없음,100g,352,,4.69,,,,16.22,,,,,,125,,,,,,,,,,14.37,,3,식품의약품안전처,703g(,투썸 플레이스,2,수집,2022-07-12,2023-01-05,1471000,식품의약품안전처
D202-110000000-0019,케이크_그린티 롤케이크,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02110,케이크,0211000,해당없음,021100000,해당없음,00,해당없음,100g,325,,6.67,,,,20.44,,,,,,95,,,,,,,,,,13.45,,3,식품의약품안전처,100g(,카페띠아모,2,수집,2022-07-04,2023-01-05,1471000,식품의약품안전처
D202-110000000-0020,케이크_까망베르치즈케이크 1호,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02110,케이크,0211000,해당없음,021100000,해당없음,00,해당없음,100g,267,,5.83,,,,25.17,,,,,,241,,,,,,,,,,7.67,,3,식품의약품안전처,600g(,커피빈,2,수집,2022-07-19,2023-01-05,1471000,식품의약품안전처
D202-110000000-0021,케이크_까망베르치즈케이크 2호,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02110,케이크,0211000,해당없음,021100000,해당없음,00,해당없음,100g,267,,5.90,,,,25.10,,,,,,241,,,,,,,,,,7.60,,3,식품의약품안전처,1000g,커피빈,2,수집,2022-07-19,2023-01-05,1471000,식품의약품안전처
D202-110000000-0022,케이크_까망베르케이크 (조각),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02110,케이크,0211000,해당없음,021100000,해당없음,00,해당없음,100g,321,,5.33,,,,24.00,,,,,,203,,,,,,,,,,10.67,,3,식품의약품안전처,75g(o,따삐오,2,수집,2022-10-30,2023-01-05,1471000,식품의약품안전처
D202-109000000-0004,카스텔라_생크림 카스테라,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02109,카스텔라,0210900,해당없음,021090000,해당없음,00,해당없음,100g,386,,10.83,,,,35.83,,,,,,154,,,,,,,,,,14.17,,3,식품의약품안전처,120g(,토프레소,2,수집,2022-07-11,2023-01-05,1471000,식품의약품안전처
D202-109000000-0005,카스텔라_생크림카스테라,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02109,카스텔라,0210900,해당없음,021090000,해당없음,00,해당없음,100g,352,,6.61,,,,33.88,,,,,,131,,,,,,,,,,4.96,,3,식품의약품안전처,121g(,메가커피,2,수집,2022-07-06,2023-01-05,1471000,식품의약품안전처
D202-109000000-0006,카스텔라_우리 흑米 카스텔라,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02109,카스텔라,0210900,해당없음,021090000,해당없음,00,해당없음,100g,315,,8.00,,,,20.50,,,,,,82,,,,,,,,,,3.00,,3,식품의약품안전처,200g(,스타벅스,2,수집,2022-06-24,2023-01-05,1471000,식품의약품안전처
D202-109000000-0007,카스텔라_우리米 카스텔라,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02109,카스텔라,0210900,해당없음,021090000,해당없음,00,해당없음,100g,305,,7.00,,,,25.00,,,,,,57,,,,,,,,,,2.15,,3,식품의약품안전처,200g(,스타벅스,2,수집,2022-06-24,2023-01-05,1471000,식품의약품안전처
D202-109000000-0008,카스텔라_우유크림 카스테라,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02109,카스텔라,0210900,해당없음,021090000,해당없음,00,해당없음,100g,352,,33.33,,,,8.33,,,,,,133,,,,,,,,,,5.00,,3,식품의약품안전처,120g(,커피에 반하다,2,수집,2022-07-11,2023-01-05,1471000,식품의약품안전처
D202-109000000-0009,카스텔라_촉촉한쌀카스테라 녹차,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02109,카스텔라,0210900,해당없음,021090000,해당없음,00,해당없음,100g,294,,6.67,,,,43.33,,,,,,54,,,,,,,,,,0.67,,3,식품의약품안전처,150g(,롤링핀,2,수집,2022-10-30,2023-01-05,1471000,식품의약품안전처
D202-109000000-0010,카스텔라_촉촉한쌀카스테라 플레인,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02109,카스텔라,0210900,해당없음,021090000,해당없음,00,해당없음,100g,309,,6.67,,,,42.00,,,,,,53,,,,,,,,,,1.33,,3,식품의약품안전처,150g(,롤링핀,2,수집,2022-10-30,2023-01-05,1471000,식품의약품안전처
D202-109000000-0011,카스텔라_카스테라구마,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02109,카스텔라,0210900,해당없음,021090000,해당없음,00,해당없음,100g,314,,4.76,,,,12.38,,,,,,219,,,,,,,,,,10.48,,3,식품의약품안전처,105g(,파리바게뜨,2,수집,2022-10-30,2023-01-05,1471000,식품의약품안전처
D202-109000000-0012,카스텔라_카스텔라우유스틱브레드,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02109,카스텔라,0210900,해당없음,021090000,해당없음,00,해당없음,100g,284,,7.00,,,,19.00,,,,,,218,,,,,,,,,,6.00,,3,식품의약품안전처,480g(,따삐오,2,수집,2022-10-30,2023-01-05,1471000,식품의약품안전처
D202-109000000-0013,카스텔라_큐브 라이스 카스텔라,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02109,카스텔라,0210900,해당없음,021090000,해당없음,00,해당없음,100g,323,,7.50,,,,40.00,,,,,,55,,,,,,,,,,0.00,,3,식품의약품안전처,40g(o,스타벅스,2,수집,2022-06-24,2023-01-05,1471000,식품의약품안전처
D202-109000000-0014,카스텔라_폭신한 생크림 카스텔라,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02109,카스텔라,0210900,해당없음,021090000,해당없음,00,해당없음,100g,355,,5.45,,,,16.36,,,,,,273,,,,,,,,,,9.09,,3,식품의약품안전처,110g(,파스쿠찌,2,수집,2022-07-11,2023-01-05,1471000,식품의약품안전처
D202-109000000-0015,카스텔라_폭탄 카스테라,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02109,카스텔라,0210900,해당없음,021090000,해당없음,00,해당없음,100g,352,,33.33,,,,33.33,,,,,,133,,,,,,,,,,5.00,,3,식품의약품안전처,120g(,커피에 반하다,2,수집,2022-07-11,2023-01-05,1471000,식품의약품안전처
D202-109000000-0016,카스텔라_플레인 카스테라,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02109,카스텔라,0210900,해당없음,021090000,해당없음,00,해당없음,100g,368,,4.23,,,,30.28,,,,,,151,,,,,,,,,,7.75,,3,식품의약품안전처,142g(,요거프레소,2,수집,2022-07-04,2023-01-05,1471000,식품의약품안전처
D202-109000000-0017,카스텔라_후레쉬카스텔라,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02109,카스텔라,0210900,해당없음,021090000,해당없음,00,해당없음,100g,337,,6.00,,,,27.00,,,,,,170,,,,,,,,,,9.00,,3,식품의약품안전처,220g(,따삐오,2,수집,2022-10-30,2023-01-05,1471000,식품의약품안전처
D202-110000000-0001,케이크_11겹 작은 바움쿠헨케이크,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02110,케이크,0211000,해당없음,021100000,해당없음,00,해당없음,100g,357,,5.71,,,,25.71,,,,,,57,,,,,,,,,,5.71,,3,식품의약품안전처,35g(o,파스쿠찌,2,수집,2022-07-11,2023-01-05,1471000,식품의약품안전처
D202-110000000-0002,케이크_ITS 스윗콘케이크,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02110,케이크,0211000,해당없음,021100000,해당없음,00,해당없음,100g,255,,5.04,,,,17.05,,,,,,45,,,,,,,,,,1.94,,3,식품의약품안전처,258g(,파스쿠찌,2,수집,2022-07-11,2023-01-05,1471000,식품의약품안전처
D202-110000000-0003,케이크_ITS 티라미수케이크,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02110,케이크,0211000,해당없음,021100000,해당없음,00,해당없음,100g,295,,4.17,,,,12.08,,,,,,80,,,,,,,,,,12.92,,3,식품의약품안전처,240g(,파스쿠찌,2,수집,2022-07-11,2023-01-05,1471000,식품의약품안전처
D202-110000000-0004,케이크_The 촉촉 초콜릿 생크림케이크,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02110,케이크,0211000,해당없음,021100000,해당없음,00,해당없음,100g,386,,5.83,,,,21.67,,,,,,122,,,,,,,,,,14.17,,3,식품의약품안전처,120g(,스타벅스,2,수집,2022-06-24,2023-01-05,1471000,식품의약품안전처
D202-108000000-0028,치즈빵_카스타드화이트치즈볼,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02108,치즈빵,0210800,해당없음,021080000,해당없음,00,해당없음,100g,333,,5.00,,,,13.33,,,,,,350,,,,,,,,,,8.33,,3,식품의약품안전처,60g(o,파리바게뜨,2,수집,2022-10-30,2023-01-05,1471000,식품의약품안전처
D202-108000000-0029,치즈빵_크랜베리애플크림치즈,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02108,치즈빵,0210800,해당없음,021080000,해당없음,00,해당없음,100g,299,,6.10,,,,10.98,,,,,,317,,,,,,,,,,7.32,,3,식품의약품안전처,82g(o,뚜레쥬르,2,수집,2022-10-30,2023-01-05,1471000,식품의약품안전처
D202-108000000-0030,치즈빵_크림치즈 살라망드,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02108,치즈빵,0210800,해당없음,021080000,해당없음,00,해당없음,100g,371,,7.78,,,,22.59,,,,,,191,,,,,,,,,,12.96,,3,식품의약품안전처,270g(,롤링핀,2,수집,2022-10-30,2023-01-05,1471000,식품의약품안전처
D202-108000000-0031,치즈빵_크림치즈월넛브레드,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02108,치즈빵,0210800,해당없음,021080000,해당없음,00,해당없음,100g,376,,8.48,,,,10.91,,,,,,418,,,,,,,,,,9.09,,3,식품의약품안전처,165g(,뚜레쥬르,2,수집,2022-10-30,2023-01-05,1471000,식품의약품안전처
D202-108000000-0032,치즈빵_크림치즈호두빵,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02108,치즈빵,0210800,해당없음,021080000,해당없음,00,해당없음,100g,328,,9.44,,,,10.00,,,,,,350,,,,,,,,,,7.78,,3,식품의약품안전처,180g(,파리바게뜨,2,수집,2022-10-30,2023-01-05,1471000,식품의약품안전처
D202-108000000-0033,치즈빵_트리플 치즈,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02108,치즈빵,0210800,해당없음,021080000,해당없음,00,해당없음,100g,266,,10.70,,,,3.26,,,,,,502,,,,,,,,,,4.19,,3,식품의약품안전처,215g(,롤링핀,2,수집,2022-10-30,2023-01-05,1471000,식품의약품안전처
D202-108000000-0034,치즈빵_파르메산,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02108,치즈빵,0210800,해당없음,021080000,해당없음,00,해당없음,100g,298,,1.21,,,,9.70,,,,,,341,,,,,,,,,,5.45,,3,식품의약품안전처,165g(,롤링핀,2,수집,2022-10-30,2023-01-05,1471000,식품의약품안전처
D202-108000000-0035,치즈빵_한 입에 쏙 치즈 꿀 볼,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02108,치즈빵,0210800,해당없음,021080000,해당없음,00,해당없음,100g,281,,12.24,,,,3.06,,,,,,558,,,,,,,,,,4.49,,3,식품의약품안전처,98g(o,스타벅스,2,수집,2022-06-24,2023-01-05,1471000,식품의약품안전처
D202-108000000-0036,치즈빵_한조각씩크림치즈호두빵,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02108,치즈빵,0210800,해당없음,021080000,해당없음,00,해당없음,100g,367,,10.00,,,,7.00,,,,,,341,,,,,,,,,,7.00,,3,식품의약품안전처,175g(,따삐오,2,수집,2022-10-30,2023-01-05,1471000,식품의약품안전처
D202-108000000-0037,치즈빵_햄치즈조리빵,D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02108,치즈빵,0210800,해당없음,021080000,해당없음,00,해당없음,100g,350,,8.57,,,,10.00,,,,,,386,,,,,,,,,,5.57,,3,식품의약품안전처,70g(o,파리바게뜨,2,수집,2022-10-30,2023-01-05,1471000,식품의약품안전처
D202-108000000-0038,치즈빵_화이트치즈볼 (1개입),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02108,치즈빵,0210800,해당없음,021080000,해당없음,00,해당없음,100g,357,,5.71,,,,14.29,,,,,,514,,,,,,,,,,7.71,,3,식품의약품안전처,35g(o,파리바게뜨,2,수집,2022-10-30,2023-01-05,1471000,식품의약품안전처
D202-108000000-0039,치즈빵_화이트치즈볼 (2개입),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,02,빵 및 과자류,02108,치즈빵,0210800,해당없음,021080000,해당없음,00,해당없음,100g,364,,4.29,,,,14.29,,,,,,529,,,,,,,,,,7.14,,3,식품의약품안전처,70g(o,파리바게뜨,2,수집,2022-10-30,2023-01-05,1471000,식품의약품안전처
